,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
81,Mic_the,Finca,2000,B_Dis,24,16.327232903365,0,0.962757771622038,0.394736842105263,1,0.358778625954199,0.753950338600451,0.060830860534125,0.025871567117878,7.98984469410289,0.811490395015037,0.315974665558995,Plant,Melastomataceae,Miconia,theaezans,61,0.158133333,6.606666667,6.16,0.002,1.1,0.1,80,10,11,0.413854223893381,-0.189882558184076,0.728009845251002,0.059462971773275
82,Mon_200,Finca,2000,B_Dis,4,1.61657681940701,0.333333333333333,0.973684210526316,0.921052631578947,1,0.152671755725191,0.090293453724605,0.048961424332344,0.009263886782558,3.46410161513775,0.197406340057637,0.527996534264823,Plant,Polygalaceae,Monnina,200,82,0.040666667,5.2,2.906666667,0.032666667,4.866666667,2.633333333,100,1,8,1.21704864426032,0.507483672753812,1.53596876449071,-0.550216289806022
83,Myr_cor,Finca,2000,B_Dis,7,1.58595500273753,0.19047619047619,0.931578947368421,0.842105263157895,1,0.017811704834606,0,0.050445103857567,0.016434950811677,5.86519753182598,0.485110470701249,0.231595845818243,Plant,Primulaceae,Myrsine,coriacea,45,0.043866667,3.153333333,3.52,0.1636,2.96,2.96,75,1,16,1.11014086499311,0.31259881096595,1.08038553954151,0.485071148802326
84,P3spp4,Finca,2000,B_Dis,1,0.4,0.666666666666667,1,1,1,0,0,0.032146389713155,0.005543866150319,1,0.007204610951009,0.816847593847722,Plant,Indet,Indet,800,84,2.791777778,19.7,16.23333333,0.0456,5.46,3.76,20,80,5,-0.165828613310149,-0.152919199880836,0.230136161219019,0.051323522514286
85,Rub_200,Finca,2000,B_Dis,1,0.177777777777778,0.571428571428571,1,1,1,0,0,0.041048466864491,0.01390493894351,1,0.064841498559078,0.57026851469823,Plant,Rosaceae,Rubus,200,85,1,10,9,0.002,2,1.5,50,1,4,-0.603137244871157,-0.620875172676379,0.220370337153794,-0.691133110490586
86,Sap_200,Finca,2000,B_Dis,3,1.11666666666667,0.428571428571429,0.982456140350877,0.947368421052632,1,0,0,0.041048466864491,0.009004898686229,2.58640928985893,0.095100864553314,0.497117334834904,Plant,Euphorbiaceae,Sapium,200,67,2.374222222,15.61111111,17.08888889,0.4596,10.8,9.68,6,3,18,-3.16362452794385,-2.01775606853261,-2.51124332552873,1.31900658841657
87,Sch_200,Finca,2000,B_Dis,1,0.04,0.952380952380952,1,1,1,0,0,0.036597428288823,0.003027493022014,1,0.036023054755043,0.39747764309499,Plant,Araliaceae,Schefflera,200,87,2.791777778,19.7,16.23333333,0.0456,5.46,3.76,20,80,5,-3.21970819316067,-1.62245538463112,-1.94739949983577,-0.443470135051431
88,Sip_asp,Finca,2000,B_Dis,5,3.05412433478471,0.238095238095238,0.969107551487414,0.894736842105263,1,0,0,0.047477744807122,0.020108200404495,2.86963605658508,0.127896253602305,0.909980249341407,Plant,Siparunaceae,Siparuna,aspera,88,0.1875,7.7,7.05,0.002166061756508,0.002166061756508,0.002166061756508,15,1,4,0.221925332791729,-0.396331064807252,0.882774936752563,-0.682799840696405
89,Tre_mic,Finca,2000,B_Dis,1,0.012987012987013,1,1,1,1,0,0,0.041048466864491,0.00302533012335,1,0.110951008645533,0.186908714995489,Plant,Cannabaceae,Trema,micrantha,89,0.0096,2.18,1.98,0.003,1.65,0.95,20,4,5,1.55899463177561,0.574813604324889,1.94959396737427,-0.883415757458916
90,Tur_occ,Finca,2000,B_Dis,2,1.3,0.476190476190476,0.993421052631579,0.973684210526316,1,0,0,0.033630069238378,0.009095800715587,1.64938488846612,0.010086455331412,0.928287752169746,Plant,Staphyleaceae,Turpinia,occidentalis,90,1.8672,12.44,14.98,0.0975,5.85,5.65,50,4,12,-2.35485947627209,-1.77295170883592,-1.58537346467191,0.608012405919977
